codigo,nombre,cantidad_movimientos,monto_total,grupo_sugerido,confianza,observaciones
C0003,PUBLICO EN GENERAL,57730,47648780.5,concepto_interno_o_puente,media,Etiqueta genérica o de cierre/apertura. Fuentes: cliente_dim
20603001,IVA TRASLADABLE POR COBRAR,39448,143707764.24,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
20604001,IVA TRASLADABLE COBRADO,36766,113311275.98,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
20101001,PROVEEDORES NACIONALES TASA 16%,20867,2227376657.88,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10702004,PRODUCTO TERMINADO,19471,1285637928.8,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
C0027,NUEVA WAL MART DE MEXICO,19004,361439922.88,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
20401001,20401001 NOMINA POR PAGAR,15639,370447552.58,nomina_o_pasivo_laboral,alta,Términos de nómina o pasivos laborales. Fuentes: proveedor_dim
10602001,IVA ACRED. GASTOS NACIONAL 16% PENDIENTE PAGO,14420,40471454.48,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
80010002,PERDIDA CAMBIARIA REALIZADA,14311,3607864.02,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
20301101,ACREEDORES DIVERSOS NACIONALES TASA 16%,13239,374741723.56,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
80010003,PERDIDA CAMBIARIA NO REALIZADA,13080,3644954.68,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
70001005,UTILIDAD EN TIPO DE CAMBIO REALIZADA,12909,19350196.5,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10702003,PRODUCCION EN PROCESO,11529,976138400.28,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
70001006,UTILIDAD EN TIPO DE CAMBIO NO REALIZADA,10197,8598303.72,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10201004,CLIENTES NACIONALES L PROPIAS 16%,10196,539810102.32,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10701004,PRODUCTO TERMINADO,9586,648925346.96,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
C0026,COSTCO DE MEXICO,9421,698151273.06,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
10606004,IVA  PAGADO GASTOS NACIONAL 16%,9183,66693895.92,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
10701003,PRODUCCION EN PROCESO,8045,475091304.72,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50002011,DIFERENCIAS DE INVENTARIO,5992,40197229.3,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
C0020,SUPERMERCADOS INTERNACIONALES H E B,5938,13006078.72,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
C0004,GENOMMA LABORATORIES MEXICO,5936,613901534.4,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
10702001,MATERIAS PRIMAS,4896,1544771109.96,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
M991109KR2,DEREMATE COM DE MEXICO S DE RL DE CV,4856,3467339.52,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: proveedor_dim
C0063,NADRO,4844,37014576.34,cliente_comercial,media,Código tipo C### en dimensión cliente. Fuentes: cliente_dim
10702002,MATERIAL DE EMPAQUE,4628,177156925.32,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
10101102,BANCO IXE CTA 1576546-6,4287,1244785958.38,banco,alta,Nombre contiene institución bancaria conocida. Fuentes: cuenta_contable
10201005,CLIENTES NACIONALES L PROPIAS 0%,4068,35722683.64,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50004005-01-027,DEPRECIACIONES - GIF,3592,15204064.3,cuenta_contable,alta,Código numérico + descripción de cuenta mayor. Fuentes: cuenta_contable
10601001,IVA ACRED. COMPRAS NACIONAL 16% PENDIENTE PAGO,3529,41944496.7,impuesto_o_gobierno,media-alta,Términos fiscales o gubernamentales. Fuentes: cuenta_contable
10902003,DEP. ACUM. MOB. Y EQUIPO DE OFICINA,3215,18970183.54,empresa,media-alta,Sufijo societario mexicano o internacional. Fuentes: cuenta_contable
50004095-01-027,ARRENDAMIENTO INMUEBLE REPORTADO DYNAMICS GIF,3146,16481155.02,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50004098-01-027,ARRENDAMIENTO MAQ YEQUIPO REPORTADO DYNAMICS GIF,3146,1769054.18,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50004092-01-027,ELECTRICIDAD REPORTADO DYNAMICS GIF,3146,12094588.18,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50004097-01-027,IMPLEMENTOS TRABAJO  REPORTADO DYNAMICS GIF,3146,2781651.9,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
50004093-01-027,MANTENIMIENTO MAQUINARIA REPORTADO DYNAMICS GIF,3146,15612504.66,cuenta_contable,media,Proviene de account_display_value con código numérico. Fuentes: cuenta_contable
